"국가(대륙)별","상품군별","판매유형별",2021.3/4,2021.4/4 p)
"기타","음·식료품","면세점",4,12
"기타","음·식료품","면세점 이외",42,39
"기타","농축수산물","계",0,56
"기타","농축수산물","면세점",0,0
"기타","농축수산물","면세점 이외",0,56
"기타","생활용품 및 자동차용품","계",369,1256
"기타","생활용품 및 자동차용품","면세점",0,0
"기타","생활용품 및 자동차용품","면세점 이외",369,1256
"기타","기 타","계",1166,1600
"기타","기 타","면세점",0,0
"기타","기 타","면세점 이외",1166,1600
